time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,latitude,longitude,elevation,u,v,canyon_factor,windward_height_avg,leeward_height_avg,road_distance,indicatedspeed_kph
2021-11-25,4.2,2.3,6.9,0.0,,329.0,12.3,27.8,1016.4,,51.546375,-0.46061,47.51951219512194,-7.957390399053116,9.379229074772475,24.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-26,4.9,2.3,8.7,0.0,,274.0,21.5,44.5,996.1,,51.546375,-0.46061,47.51951219512194,-16.6983403732032,-13.54309524372667,43.0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-27,3.5,1.8,4.6,5.6,,336.0,29.8,59.3,994.0,,51.546375,-0.46061,47.51951219512194,-29.46353224353306,4.46545269085765,59.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-28,1.0,-1.4,3.7,1.5,,325.0,16.1,48.2,1006.9,,51.546375,-0.46061,47.51951219512194,-2.482968826513818,-15.90738400261214,32.2,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-29,0.7,-2.7,3.6,0.0,,267.0,10.1,29.6,1014.5,,51.546375,-0.46061,47.51951219512194,-10.093680938030145,0.35721859028737807,20.2,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-30,9.6,5.0,12.0,0.0,,253.0,20.1,42.6,1010.1,,51.546375,-0.46061,47.51951219512194,-2.0424754104220195,19.995956946288455,40.2,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-01,8.0,2.8,10.7,0.5,,300.0,22.3,46.3,999.1,,51.546375,-0.46061,47.51951219512194,-0.4927546099146519,-22.294555229795634,44.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-02,1.9,0.1,4.7,0.3,,310.0,15.5,35.2,1011.7,,51.546375,-0.46061,47.51951219512194,-8.142888396991378,13.188759174165824,31.0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-03,5.5,1.1,9.4,0.5,,243.0,7.9,24.1,1004.9,,51.546375,-0.46061,47.51951219512194,-3.6019439795714816,-7.03107385596459,15.8,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-04,5.9,3.5,7.7,2.0,,272.0,17.9,46.3,997.9,,51.546375,-0.46061,47.51951219512194,-4.4672906235901975,17.33358919798156,35.8,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-05,5.2,4.0,6.5,3.8,,327.0,22.7,42.6,1006.3,,51.546375,-0.46061,47.51951219512194,21.850967780838403,6.150220080676957,45.4,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-06,4.2,1.5,7.5,0.3,,252.0,11.9,29.6,1009.9,,51.546375,-0.46061,47.51951219512194,9.308324108313027,7.413845310943471,23.8,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-07,4.6,1.4,8.0,1.5,,189.0,15.9,50.0,997.4,,51.546375,-0.46061,47.51951219512194,13.919573753134976,7.684755463320607,15.9,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-08,6.4,5.1,8.0,7.4,,236.0,24.4,46.3,990.8,,51.546375,-0.46061,47.51951219512194,-22.65442703977056,-9.062942982260912,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-09,6.2,3.3,8.7,0.0,,225.0,14.7,38.9,999.0,,51.546375,-0.46061,47.51951219512194,5.399594705634604,-13.672394706666523,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-10,5.7,2.1,8.2,8.4,,305.0,22.7,42.6,999.3,,51.546375,-0.46061,47.51951219512194,-21.90454929978788,-5.95656948025977,45.4,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-11,5.2,0.6,10.6,4.3,,231.0,8.7,25.9,1015.5,,51.546375,-0.46061,47.51951219512194,0.8074141043941305,-8.662452450895497,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-12,11.9,10.5,13.5,1.5,,222.0,14.1,29.6,1019.5,,51.546375,-0.46061,47.51951219512194,-6.978067645710573,12.252206818850524,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-13,10.6,9.6,11.8,0.3,,208.0,14.5,27.8,1023.2,,51.546375,-0.46061,47.51951219512194,11.500211863734794,8.831484987770375,14.5,3.985714285714285,2.266666666666667,66.82802055524162,48
