,geometry,osid,theme,changetype,name1_text,name2_text,description,versiondate,name1_language,name2_language,routehierarchy,formspartofstreet,geometry_length_m,alternatename1_text,alternatename2_text,averagespeed_source,versionavailabletodate,alternatename1_language,alternatename2_language,averagespeed_updatedate,indicativespeedlimit_kph,indicativespeedlimit_mph,roadclassificationnumber,versionavailablefromdate,averagespeed_evidencedate,indicativespeedlimit_source,indicativespeedlimit_updatedate,averagespeed_mf4to7capturemethod,averagespeed_mf7to9capturemethod,averagespeed_ss4to7capturemethod,averagespeed_mf22to4capturemethod,averagespeed_mf9to12capturemethod,averagespeed_ss22to4capturemethod,averagespeed_ss7to10capturemethod,indicativespeedlimit_evidencedate,averagespeed_mf12to14capturemethod,averagespeed_mf14to16capturemethod,averagespeed_mf16to19capturemethod,averagespeed_mf19to22capturemethod,averagespeed_mf4to7indirection_kph,averagespeed_mf7to9indirection_kph,averagespeed_ss10to14capturemethod,averagespeed_ss14to19capturemethod,averagespeed_ss19to22capturemethod,averagespeed_ss4to7indirection_kph,indicativespeedlimit_capturemethod,averagespeed_mf22to4indirection_kph,averagespeed_mf9to12indirection_kph,averagespeed_ss22to4indirection_kph,averagespeed_ss7to10indirection_kph,averagespeed_mf12to14indirection_kph,averagespeed_mf14to16indirection_kph,averagespeed_mf16to19indirection_kph,averagespeed_mf19to22indirection_kph,averagespeed_ss10to14indirection_kph,averagespeed_ss14to19indirection_kph,averagespeed_ss19to22indirection_kph,averagespeed_mf4to7againstdirection_kph,averagespeed_mf7to9againstdirection_kph,averagespeed_ss4to7againstdirection_kph,averagespeed_mf22to4againstdirection_kph,averagespeed_mf9to12againstdirection_kph,averagespeed_ss22to4againstdirection_kph,averagespeed_ss7to10againstdirection_kph,averagespeed_mf12to14againstdirection_kph,averagespeed_mf14to16againstdirection_kph,averagespeed_mf16to19againstdirection_kph,averagespeed_mf19to22againstdirection_kph,averagespeed_ss10to14againstdirection_kph,averagespeed_ss14to19againstdirection_kph,averagespeed_ss19to22againstdirection_kph,distance_to_point,bearing_to_point,site
36,"LINESTRING (534773.7774280567 177513.12345207977, 534780.7792876643 177522.12231518596)",f5f72ece-ef1a-49da-898f-ef0f4eaea032,Transport,Modified Attributes,Wales Close,,Average And Indicative Speed,2023-09-29,,,Local Road,['22503192'],11.402,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2020-04-18,Automated Process,Automated Process,Automated Process,Automated Process,21.7,18.5,Automated Process,Automated Process,Automated Process,22.9,Field Survey,20.8,17.9,20.4,21.9,18.7,19.2,19.6,20.6,20.8,20.9,21.4,21.7,18.5,22.9,20.8,17.9,20.4,21.9,18.7,19.2,19.6,20.6,20.8,20.9,21.4,62.53580596023499,295.4950758350609,SK5
37,"LINESTRING (534885.2870026967 177502.06840690714, 534845.7772870645 177524.12282869266, 534843.7773242831 177525.12698224932)",f93d20b7-25fb-4867-b854-f1e1c7849d65,Transport,Modified Attributes,Old Kent Road,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['22501843', '22503267']",47.481,,,Basemap,,,,2023-08-17,48,30,A2,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2018-02-24,Field Survey,Field Survey,Field Survey,Field Survey,14.8,11.1,Field Survey,Field Survey,Field Survey,30.1,Desk-Based,26.4,11.4,25.1,18.8,11.4,12.2,12.6,17.5,11.3,12.2,19.2,37.7,25.6,43.0,34.1,20.8,29.9,31.1,18.4,16.6,18.2,25.9,17.4,18.5,23.7,12.300374025209974,78.63245036831245,SK5
38,"LINESTRING (534801.579149511 177548.2232784556, 534796.6042957574 177553.19922224252, 534794.1132534214 177555.6926640317)",fc0a6221-1cac-48e8-aee4-af9b992c2388,Transport,Modified Attributes,Old Kent Road,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['22503267', '22501843']",10.561,,,Basemap,,,,2023-08-17,48,30,A2,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,28.0,24.1,Field Survey,Field Survey,Field Survey,36.5,Desk-Based,33.5,26.6,33.3,32.0,26.9,27.5,27.8,31.4,28.7,27.5,29.5,,,,,,,,,,,,,,,54.70702027380972,342.52210165482325,SK5
0,"LINESTRING (350864.64509829093 395197.1166701203, 350852.073437301 395206.7826427993, 350848.07320456207 395209.78384459, 350843.04965972336 395213.3742624814)",02adf830-7ffb-4323-827b-8175c32e9e97,Transport,Modified Attributes,Linkway West,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['37592195', '37502635']",27.034,,,Basemap,,,,2023-08-17,48,30,A570,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,44.9,37.2,Field Survey,Field Survey,Field Survey,49.6,Desk-Based,40.7,33.6,38.8,44.1,28.7,22.2,20.9,32.0,29.5,37.0,48.0,,,,,,,,,,,,,,,57.39588284785774,168.56930336497066,SHLW
1,"LINESTRING (350886.98419214773 395285.61654939863, 350888.7951074407 395286.04277799546, 350907.14805998694 395292.0382691691, 350920.9679109319 395295.1324491578, 350929.87882918556 395295.58508643106)",13008a24-13a6-41c1-8f73-d6ac0ca92e4a,Transport,Modified Attributes,,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,[],44.249,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2015-04-27,Automated Process,Automated Process,Automated Process,Automated Process,,,Automated Process,Automated Process,Automated Process,,Desk-Based,,,,,,,,,,,,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,77.6964031980046,80.44253986802045,SHLW
2,"LINESTRING (350843.90351266495 395195.2184069088, 350844.5028690327 395197.92698558065, 350844.9586271508 395201.5160347612, 350845.05648787087 395203.261843646, 350845.0373146123 395205.88784662884, 350844.8736347397 395207.39159800694, 350844.07218288357 395210.7934528168, 350843.04965972336 395213.3742624814)",17f57844-1821-4c12-a624-0cc3d0960824,Transport,Modified Attributes,Liverpool Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['37501155'],18.548,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Field Survey,Field Survey,Automated Process,Field Survey,Automated Process,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,25.1,4.4,Field Survey,Field Survey,Field Survey,21.6,Automated Process,26.2,4.4,26.2,3.9,4.2,4.0,3.7,9.2,4.0,5.5,10.0,,,,,,,,,,,,,,,57.39588284785774,171.37568085645307,SHLW
3,"LINESTRING (350726.0642633878 395317.78909981204, 350734.0691530404 395314.7905399813, 350738.07018034003 395313.79196312465, 350742.06824992405 395313.7836604883, 350744.067342688 395313.7850729794, 350746.0702319564 395314.78781299567)",1bf7a584-b913-4dbc-a552-fb28ccebb881,Transport,Modified Attributes,Westfield Street,,Average And Indicative Speed,2024-02-06,,,A Road Primary,"['37592195', '37502072']",20.903,,,Basemap,,,,2023-08-17,48,30,A58,2024-02-07T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-08-19,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,34.0,28.3,19.0,22.4,29.6,20.4,32.5,28.8,28.0,28.5,19.3,29.3,31.5,35.9,85.02964516976729,307.04695613792114,SHLW
4,"LINESTRING (350864.64509829093 395197.1166701203, 350862.1465708895 395197.632208792, 350859.61275696784 395197.94784262846, 350857.0635788951 395198.0633644748, 350853.4485020859 395197.86731178587, 350850.9272054806 395197.4707377928, 350848.44378649344 395196.8846242681, 350843.90351266495 395195.2184069088)",4f7f6b6e-7d4e-45b7-b0de-3e0cccc0f125,Transport,Modified Attributes,Liverpool Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['37501155'],21.217,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Automated Process,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,26.7,24.9,Field Survey,Field Survey,Field Survey,28.0,Desk-Based,27.4,24.6,26.2,20.3,12.6,24.6,24.1,27.5,25.9,24.8,34.3,,,,,,,,,,,,,,,73.82082003549799,174.75896907745823,SHLW
5,"LINESTRING (350757.06769382156 395175.7837066418, 350793.0256121754 395175.78740691405)",5f49212d-6c49-4b49-939a-0a03cfb02bd2,Transport,Modified Attributes,Liverpool Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['37501155'],35.956,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Automated Process,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,19.6,20.6,Field Survey,Field Survey,Field Survey,19.5,Desk-Based,27.0,22.7,26.2,22.9,14.3,17.1,22.5,31.4,28.5,30.9,29.0,32.7,29.6,29.5,27.0,27.0,26.2,31.1,28.3,29.9,26.7,30.1,29.5,31.5,28.2,88.6792905820778,171.27941293134154,SHLW
6,"LINESTRING (350883.06753765256 395193.78752412804, 350875.0707851292 395200.7912047781, 350859.07346334064 395213.7861556348, 350837.42476268864 395230.02207693853)",65ef4c5b-02fe-4e62-bec7-c6aeac60bc57,Transport,Modified Attributes,Linkway West,,Average And Indicative Speed,2023-11-10,,,A Road Primary,"['37502635', '37592195']",58.299,,,Basemap,,,,2023-08-17,48,30,A570,2023-11-11T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2018-03-05,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,16.4,12.2,39.9,34.1,12.2,31.5,17.1,11.1,11.4,12.6,18.8,12.4,15.0,23.2,40.469629840572125,160.80183022243318,SHLW
7,"LINESTRING (350837.42476268864 395230.02207693853, 350831.07183660404 395234.7834738248, 350823.0685895151 395241.78731262963, 350805.07050142833 395257.78512028715, 350799.06725840364 395266.7820367749, 350770.065886459 395307.78408108186, 350766.06850715954 395316.78239591455, 350764.06832790794 395328.78625371517)",69caa223-140a-4aee-bf26-aebaa1b032c5,Transport,Modified Attributes,Linkway West,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['37502635', '37592195']",125.71,,,Basemap,,,,2023-08-17,48,30,A570,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2018-03-05,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,35.2,26.1,46.0,37.8,25.8,35.7,33.2,25.3,27.2,31.7,37.3,25.4,32.2,42.8,8.507903527375504,306.02593811678304,SHLW
8,"LINESTRING (350823.30958869006 395338.3276090671, 350824.7505933343 395335.1193664354, 350829.4845984502 395327.9715268374, 350830.061682949 395320.24387699965, 350833.2498518028 395312.61144556786, 350844.4577519905 395302.7593304989, 350847.9359615196 395298.105737427)",6e309f56-f3de-41fd-83d5-6af80b2fba33,Transport,Modified Attributes,,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,[],48.847,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2015-04-27,Automated Process,Automated Process,Automated Process,Automated Process,,,Automated Process,Automated Process,Automated Process,,Desk-Based,,,,,,,,,,,,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,50.16101626708797,19.615143585256476,SHLW
9,"LINESTRING (350813.0703228267 395235.7830494685, 350798.0676019498 395251.78308244207, 350792.0664020593 395257.78701477597, 350758.0647907689 395307.78674716514, 350754.0647032974 395310.7880296277, 350746.0702319564 395314.78781299567)",6edc4967-cf53-47f4-93a1-59e15c34f9db,Transport,Modified Attributes,Linkway West,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['37592195', '37502635']",104.826,,,Basemap,,,,2023-08-17,48,30,A570,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2017-01-26,Field Survey,Field Survey,Field Survey,Field Survey,28.5,20.3,Field Survey,Field Survey,Field Survey,25.4,Desk-Based,19.3,18.7,16.7,23.3,16.1,14.3,13.5,15.9,17.4,21.1,33.8,,,,,,,,,,,,,,,17.95075839083522,289.58050384672225,SHLW
10,"LINESTRING (350847.9359615196 395298.105737427, 350853.63484701724 395290.4917086254, 350855.91415386635 395288.6989216413)",6fb10b68-a471-4358-b095-f65c25d67334,Transport,Modified Attributes,,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,[],12.407,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2015-04-27,Automated Process,Automated Process,Automated Process,Automated Process,,,Automated Process,Automated Process,Automated Process,,Desk-Based,,,,,,,,,,,,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,49.56022385368371,53.649238198822786,SHLW
11,"LINESTRING (350793.0256121754 395175.78740691405, 350801.0687011065 395175.7926652669, 350809.07182842365 395175.787227003, 350828.073603376 395175.7897227786, 350832.07190412714 395175.7926218633)",73a2e6f6-d80b-4708-beae-5cb9f40c3088,Transport,Modified Attributes,Liverpool Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['37501155'],39.044,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Automated Process,Field Survey,Automated Process,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,6.9,21.6,Field Survey,Field Survey,Field Survey,3.1,Desk-Based,26.2,16.3,26.2,3.5,15.5,13.2,16.1,23.0,19.3,25.6,29.0,26.4,25.8,3.1,26.2,22.5,26.2,21.1,11.6,14.2,19.2,28.7,19.0,22.1,28.3,86.42393671260419,179.91439513027842,SHLW
12,"LINESTRING (350843.04965972336 395213.3742624814, 350834.07054112817 395219.78741454857, 350826.0701254354 395225.78985233174, 350813.0703228267 395235.7830494685)",763cc03a-f3bd-4532-8f6f-d14982a4b2be,Transport,Modified Attributes,Linkway West,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['37502635', '37592195']",37.437,,,Basemap,,,,2023-08-17,48,30,A570,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2017-01-26,Field Survey,Field Survey,Field Survey,Field Survey,44.4,34.6,Field Survey,Field Survey,Field Survey,49.7,Desk-Based,41.2,30.7,39.1,42.3,25.9,20.4,20.4,35.7,23.7,33.5,45.2,,,,,,,,,,,,,,,26.429187063409906,166.60703640750842,SHLW
13,"LINESTRING (350905.15231523995 395170.2706972908, 350890.06806168 395186.78308515373, 350883.06753765256 395193.78752412804)",95a9d4e1-d579-4a28-8b01-7229d8723991,Transport,Modified Attributes,Linkway West,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['37592195', '37502635']",32.265,,,Basemap,,,,2023-08-17,48,30,A570,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-06-05,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,5.3,7.2,5.0,5.8,6.6,5.6,6.1,6.8,6.4,5.3,5.6,5.8,5.6,3.5,98.00916564984061,188.10739413631427,SHLW
14,"LINESTRING (350832.07190412714 395175.7926218633, 350849.47402439034 395175.8897329772)",97940139-7121-4522-b5d0-81a8e45b7b40,Transport,Modified Attributes,Liverpool Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['37501155'],17.402,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,25.1,21.1,Automated Process,Automated Process,Automated Process,28.0,Desk-Based,26.2,20.8,26.2,25.8,21.2,21.6,22.9,25.1,24.6,24.9,26.7,25.1,21.1,28.0,26.2,20.8,26.2,25.8,21.2,21.6,22.9,25.1,24.6,24.9,26.7,88.52082342019659,186.59440657609656,SHLW
15,"LINESTRING (350818.54601808183 395386.01996344264, 350819.6273991219 395369.3192722661, 350822.2365102273 395359.6567483472, 350822.4316257698 395350.96508538147, 350822.2386528243 395340.7197813139, 350823.30958869006 395338.3276090671)",a347fb5d-3742-4333-9fb7-c30202da9045,Transport,Modified Attributes,,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,[],48.304,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2015-04-27,Automated Process,Automated Process,Automated Process,Automated Process,,,Automated Process,Automated Process,Automated Process,,Desk-Based,,,,,,,,,,,,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,76.82488496587669,1.120080917361065,SHLW
16,"LINESTRING (350883.06753765256 395193.78752412804, 350891.07184439385 395188.7865100603, 350896.0683742614 395185.78611801955, 350909.07101838675 395181.7901916029, 350914.60492072045 395181.2876502644)",bcfd82fc-ed2e-4458-a601-f4ab2d1210a1,Transport,Modified Attributes,Chalon Way West,,Average And Indicative Speed,2023-09-29,,,Local Road,['37502720'],34.425,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,8.7,8.1,Field Survey,Field Survey,Automated Process,6.1,Desk-Based,4.5,6.8,3.1,6.3,7.1,8.1,10.5,3.4,6.3,5.5,26.7,,,,,,,,,,,,,,,98.00916564984061,184.10278880180994,SHLW
17,"LINESTRING (350843.90351266495 395195.2184069088, 350840.06789508543 395189.7841779377, 350832.07190412714 395175.7926218633)",d8e0dfab-e656-4d18-a87d-e2000a3cf976,Transport,Modified Attributes,Liverpool Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['37501155'],22.772,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Automated Process,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,21.7,19.8,Field Survey,Field Survey,Field Survey,24.1,Desk-Based,21.1,16.9,26.2,17.2,18.4,17.7,18.7,22.4,18.4,20.9,22.5,20.9,15.3,24.1,21.1,10.0,26.2,10.0,9.8,8.4,7.2,17.2,6.6,13.8,24.6,73.82082003549799,181.89500834960026,SHLW
18,"LINESTRING (350746.0702319564 395314.78781299567, 350756.06462733785 395319.79060827807, 350761.0674491577 395323.7884412905, 350763.0673668701 395325.78145927686, 350764.06832790794 395328.78625371517)",e80acade-4f9d-4cb6-9038-c224685f0a9c,Transport,Modified Attributes,Westfield Street,,Average And Indicative Speed,2024-02-06,,,A Road Primary,"['37502072', '37592195']",23.574,,,Basemap,,,,2023-08-17,48,30,A58,2024-02-07T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,40.6,37.5,7.1,22.9,38.3,32.5,38.0,38.0,36.7,38.8,25.9,38.8,39.8,39.0,80.48590033371886,319.73498871295357,SHLW
19,"LINESTRING (350764.06832790794 395328.78625371517, 350771.06977832253 395360.7903989603, 350771.0669291177 395361.7917948932)",f3ce446d-3420-4911-9637-91baaa933f16,Transport,Modified Attributes,Westfield Street,,Average And Indicative Speed,2024-02-06,,,A Road Primary,"['37592195', '37502072']",33.757,,,Basemap,,,,2023-08-17,48,30,A58,2024-02-07T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,37.5,33.6,37.2,34.8,33.2,34.3,33.2,33.0,34.3,33.8,35.7,33.6,35.4,36.1,82.56146032843033,342.7296670411296,SHLW
20,"LINESTRING (350877.0725049197 395183.7916838135, 350875.0712666412 395186.78320719424, 350865.07340166555 395196.78955406457, 350864.64509829093 395197.1166701203)",f78c51cd-f33d-48fb-a59f-0e53903a13d3,Transport,Modified Attributes,Linkway West,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['37592195', '37502635']",18.284,,,Basemap,,,,2023-08-17,48,30,A570,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,46.4,39.6,Field Survey,Field Survey,Field Survey,39.8,Desk-Based,43.6,34.9,42.2,45.2,31.7,24.9,24.0,42.3,30.4,37.8,47.3,,,,,,,,,,,,,,,83.15795560853857,179.4103462010812,SHLW
21,"LINESTRING (350855.91415386635 395288.6989216413, 350859.0432953373 395286.2408463265, 350861.9396432761 395285.66553656943, 350872.85906599456 395283.8274173296, 350880.199897581 395284.01812928094, 350886.98419214773 395285.61654939863)",f8050cce-11ed-4b65-9818-eab6539a51f0,Transport,Modified Attributes,,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,[],32.32,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2015-04-27,Automated Process,Automated Process,Automated Process,Automated Process,,,Automated Process,Automated Process,Automated Process,,Desk-Based,,,,,,,,,,,,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,50.517995841029695,73.94974498101851,SHLW
0,"LINESTRING (569457.1182254549 182596.24163873337, 569444.1178653543 182612.23843860236, 569412.3145669405 182658.49877366505, 569401.9716922133 182673.53792359785)",050b0f3b-038b-4569-ad74-05c9b90dd84a,Transport,Modified Attributes,Abbotts Hall Chase,,Average And Indicative Speed,2023-09-29,,,Local Road,['40500008'],95.011,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Automated Process,Field Survey,Field Survey,Automated Process,2015-09-17,Field Survey,Field Survey,Field Survey,Field Survey,25.1,33.0,Field Survey,Field Survey,Field Survey,31.1,Desk-Based,28.7,10.1,33.2,26.9,6.0,9.8,5.2,6.8,13.7,7.6,5.0,1.6,33.0,31.1,28.7,30.4,6.0,26.9,2.3,11.9,3.2,6.8,13.7,23.7,5.0,78.0946764792269,206.2832316171812,HOPE
1,"LINESTRING (568882.201453717 182789.88657829456, 568906.1297111396 182781.23148652073, 568972.1245255717 182760.22821953602, 569002.1288488188 182752.23212503863, 569021.1244246268 182748.23346219026, 569065.1230953883 182740.23595365614, 569095.1210388495 182737.2383418132, 569136.1243771724 182737.23450147425, 569202.1199510763 182740.2342660395, 569289.1169197325 182748.242890573, 569345.0053114725 182753.3900157418, 569350.9025263034 182753.98740192305)",1019f7de-4121-4647-92aa-e4a4e0c29642,Transport,Modified Attributes,The Manorway,,Average And Indicative Speed,2023-09-29,,,A Road,"['40501679', '40500882']",476.522,,,Basemap,,,,2023-08-17,80,50,A1014,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,74.2,76.1,Field Survey,Field Survey,Field Survey,81.6,Desk-Based,81.9,77.9,83.4,81.1,79.5,82.1,84.2,80.3,81.8,83.0,79.2,,,,,,,,,,,,,,,17.906950775514755,324.79351451559234,HOPE
2,"LINESTRING (569378.117702755 182708.241627576, 569373.2466086982 182705.19604309782)",22712e88-e25f-40b2-885e-aef8172ae0d4,Transport,Modified Attributes,Webster Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['40501432'],5.744,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Automated Process,Field Survey,Automated Process,Automated Process,,Field Survey,Field Survey,Field Survey,Field Survey,27.5,18.8,Field Survey,Field Survey,Field Survey,17.2,Desk-Based,28.7,28.2,28.7,26.9,25.4,28.8,26.9,18.2,29.6,28.2,25.9,27.5,25.9,17.2,28.7,27.4,28.7,26.9,25.4,19.6,20.8,18.2,29.6,29.6,25.9,35.85923221228863,214.96431169034142,HOPE
3,"LINESTRING (569369.8793689526 182703.0800264529, 569266.119788399 182632.24018895545)",39f49ef7-9379-4c60-a1fa-e47efbc6fa7d,Transport,Modified Attributes,Webster Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['40501432'],125.639,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Automated Process,Field Survey,Automated Process,Automated Process,,Field Survey,Field Survey,Field Survey,Field Survey,23.5,5.5,Field Survey,Field Survey,Field Survey,20.9,Desk-Based,28.7,15.1,28.7,26.9,24.6,14.3,22.7,19.3,21.7,22.9,20.9,23.5,19.5,20.9,28.7,21.9,28.7,26.9,24.0,22.7,19.0,19.3,21.7,17.1,20.9,36.45133908357439,147.57555280354353,HOPE
4,"LINESTRING (569350.9025263034 182753.98740192305, 569379.8073373253 182756.91052351345, 569434.4126447599 182761.1698320465, 569478.4570307195 182765.35559092002, 569531.9888277577 182770.14785513707, 569633.0308340528 182775.36965527997)",4ab10a5a-ed7b-472b-a6dd-1320e1e1ce71,Transport,Modified Attributes,The Manorway,,Average And Indicative Speed,2023-09-29,,,A Road,"['40500882', '40501679']",282.994,,,Basemap,,,,2023-08-17,80,50,A1014,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,39.6,34.0,Field Survey,Field Survey,Field Survey,50.2,Desk-Based,60.0,37.3,59.4,42.3,37.8,36.4,38.1,43.3,39.6,41.2,42.7,,,,,,,,,,,,,,,17.515455470210597,342.4419234113269,HOPE
